platform,category,bucket_month,window_days,n_reviews,n_urls,reliability_flag,V,R,M,Diversity,Q,NS,dNS,CT_shift,rz_V,rz_R,rz_M,rz_Diversity,rz_Q,rz_NS,rz_dNS,rz_CT,rem_score_raw,rem_score
coupang,Appliances,2024-10-01,30,182,68,ok,5.209486152841421,0.6659405067507905,0.1962799090446614,0.9622026325323028,4.647935643564357,0.0597826086956521,-0.034313725490196,0.1351219512195122,-0.4484109165534738,-0.5941554569386611,-0.4679643253791588,-0.5465943523002582,-1.7465625966915412,-1.1735312573608634,-0.3247182418833438,0.126551626317138,-0.5799841502816245,40.33
coupang,Appliances,2024-11-01,30,150,68,ok,5.017279836814924,0.632138100529898,-0.1053605156578258,0.9776,4.422841176470588,0.1052631578947368,0.0766108574327752,0.1531467284720984,-0.3259209839928103,0.3496368186337308,0.3003207826028674,-0.7576971047907933,0.1524192947584389,-0.3648029531913399,0.6224136303835278,-0.3025059179582399,0.0709185136120416,51.18
coupang,Appliances,2024-12-01,30,194,76,ok,5.272999558563747,0.5795501323479086,-0.7239188392266991,0.9736422574131152,4.508799065420561,0.086734693877551,-0.0437246963562752,0.1372834120925724,-0.4888869682486388,1.817938152978736,1.8758030770765568,-0.7034352086911374,-0.5727539031916836,-0.6942733212357587,-0.4050740135379309,-0.3887889524754527,0.1568099099321968,52.61
coupang,Appliances,2025-01-01,30,204,86,ok,5.3230099791384085,0.6324944512032715,-0.1752040890250903,0.9826028450595924,4.441441964285715,0.1116504854368932,0.0588728458313926,0.2051729148503342,-0.5207577889904309,0.3396872011204949,0.478213972347726,-0.8262876846142155,-0.0045039725421013,-0.2512244528805438,0.4709572471760697,-0.2947089761925071,0.0622923680668529,51.04
coupang,Appliances,2025-02-01,30,341,109,ok,5.834810737062605,0.6730220843336849,0.1930168459107024,0.9832216785201364,4.5647728531855964,0.0699708454810495,-0.0666463166463166,0.1073338426279602,-0.8469200172597089,-0.7918791981991697,-0.4596532284341837,-0.8347720860632398,-1.044969905361952,-0.9923655589902328,-0.6007907479950079,-0.7292084900090916,-0.730040623766061,37.83
coupang,Appliances,2025-03-01,30,341,120,ok,5.834810737062605,0.6285351956246142,-0.1577607920513575,0.9870400151357488,4.437349030470914,0.0962099125364431,0.0155203895313451,0.0942952090833564,-0.8469200172597089,0.4502330246259254,0.4337854932662339,-0.8871226824351336,0.0300255620908926,-0.5257864042440994,0.1007913919540119,-0.6026154689038754,-0.1276594557009574,47.87
coupang,Appliances,2025-04-01,30,343,130,ok,5.840641657373398,0.639536759750598,0.0637897378753296,0.9881596953650263,4.412900826446281,0.1333333333333333,0.0548683160415004,0.0833163161119052,-0.8506359671327465,0.1430598851320813,-0.1305088083880773,-0.9024738506660428,0.2362798397756162,0.1343366961745045,0.4367644857745424,-0.6342872813148988,-0.0959761225481966,48.4
coupang,Appliances,2025-05-01,30,380,140,ok,5.942799375126701,0.6694824963181817,0.2313934507863519,0.9892520775623268,4.4722075,0.1099476439790576,-0.031280923584387,0.1005166217430368,-0.9157394050261628,-0.693050854266784,-0.5573993248002549,-0.9174507542897034,-0.2640536449818394,-0.2815041242723015,-0.2988225993524347,-0.7765885462344186,-0.5240027144500443,41.27
coupang,Appliances,2025-06-01,30,490,154,ok,6.19644412779452,0.6496826024350587,0.0976384695639156,0.990512286547272,4.389966666666666,0.1239837398373983,-0.0446890659656617,0.1034384863312236,-1.0773830455211209,-0.1402207751910959,-0.2167223074774967,-0.9347286159756916,0.4297610686987876,-0.0319163730121373,-0.4133083036260866,-0.7389913867719031,-0.3420644103977747,44.3
coupang,Appliances,2025-07-01,30,624,193,ok,6.437751649736401,0.6617477921894738,0.1987345864352843,0.9916687212360288,4.374041925465838,0.121405750798722,-0.0212321401136887,0.0771090337507652,-1.2311643712345124,-0.4770912576981679,-0.4742164452201112,-0.9505836994101996,0.5641081966262015,-0.0777577874218447,-0.2130208514277564,-0.8096976483528422,-0.3961006556839277,43.4
coupang,Appliances,2025-08-01,30,1013,218,ok,6.921658184151129,0.6608077881791731,0.2957327197289485,0.9911154985192496,4.558454017424976,0.0798029556650246,0.020069401079748,0.0996087524701982,-1.5395500683931485,-0.450845536664837,-0.7212729244207364,-0.942998841901448,-0.9916618216964964,-0.8175324504301875,0.139633222243285,-0.6707284961122678,-0.6396253748791437,39.34
coupang,Appliances,2025-09-01,30,1309,281,ok,7.177782416195197,0.6615021218056507,0.2313853562093131,0.9942905698983532,4.425043641835967,0.1151792524790236,-0.0053727791728976,0.0813660775545934,-1.7027738404252013,-0.4702319291322092,-0.5573787077261325,-0.9865300694888144,0.1338384655652555,-0.1884764466218838,-0.0776053661945288,-0.7787933843734487,-0.4796512121704461,42.01
coupang,Appliances,2025-10-01,30,2202,363,ok,7.697575346802343,0.6820049298994522,0.3990415077093852,0.995432688143303,4.449542304230423,0.1007259528130671,0.0048361721047951,0.0331933754008198,-2.034029349254587,-1.0426879779715046,-0.9844027864321908,-1.0021888699743136,-0.0728414979739577,-0.4454828534121121,0.0095639779015133,-0.7403701598079795,-0.6681379736967773,38.86
coupang,Appliances,2025-11-01,30,4473,486,ok,8.406038142050075,0.6767619571200951,0.3970921872975852,0.9965230936504588,4.56418495437347,0.0759776536312849,-0.0054810525878885,0.0308748037799008,-2.4855210681826514,-0.8962996653212923,-0.9794378224538104,-1.01713867255416,-1.0400101690670218,-0.8855533974319623,-0.078529861013935,-0.8574803362851326,-0.8896628517714793,35.17
coupang,Appliances,2025-12-01,30,6711,542,ok,8.811652248147043,0.6450710561858274,0.0736217950430866,0.9965787415341976,4.513725003714159,0.0929539699091315,-0.0011898677101615,0.0219989491403868,-2.74401228495735,-0.0114624347336855,-0.1555512844098709,-1.017901622548839,-0.6143109780443722,-0.5836830876797511,-0.0418894891469769,-0.8762493948256783,-0.5868706074338407,40.22
