platform,category,product_url,review_date,avg_rating,review_count,neg_count,neg_ratio,defect_count,transaction_count,usability_count,fit_count,complaint_count,complaint_ratio
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2024-12-29,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2024-12-15,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2024-12-10,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2024-11-20,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2023-02-07,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2023-01-15,2.0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2022-12-23,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2022-12-06,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2022-12-05,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2022-11-06,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2022-10-30,3.0,2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-12-14,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-11-08,2.5,2,1.0,0.5,1.0,0.0,1.0,0.0,2.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-11-06,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-10-22,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-10-15,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-10-13,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-10-04,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-09-18,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-09-17,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-09-03,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-08-25,4.5,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8741255794,2025-08-20,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
